Symbol,Date,Close
MSFT,1/4/2016,54.8
MSFT,1/5/2016,55.05
MSFT,1/6/2016,54.05
MSFT,1/7/2016,52.17
MSFT,1/8/2016,52.33
MSFT,1/11/2016,52.3
MSFT,1/12/2016,52.78
MSFT,1/13/2016,51.64
MSFT,1/14/2016,53.11
MSFT,1/15/2016,50.99
MSFT,1/19/2016,50.56
MSFT,1/20/2016,50.79
MSFT,1/21/2016,50.48
MSFT,1/22/2016,52.29
MSFT,1/25/2016,51.79
MSFT,1/26/2016,52.17
MSFT,1/27/2016,51.22
MSFT,1/28/2016,52.06
MSFT,1/29/2016,55.09
MSFT,2/1/2016,54.71
MSFT,2/2/2016,53
MSFT,2/3/2016,52.16
MSFT,2/4/2016,52
MSFT,2/5/2016,50.16
MSFT,2/8/2016,49.41
MSFT,2/9/2016,49.28
MSFT,2/10/2016,49.71
MSFT,2/11/2016,49.69
MSFT,2/12/2016,50.5
MSFT,2/16/2016,51.09
MSFT,2/17/2016,52.42
MSFT,2/18/2016,52.19
MSFT,2/19/2016,51.82
MSFT,2/22/2016,52.65
MSFT,2/23/2016,51.18
MSFT,2/24/2016,51.36
MSFT,2/25/2016,52.1
MSFT,2/26/2016,51.3
MSFT,2/29/2016,50.88
MSFT,3/1/2016,52.58
MSFT,3/2/2016,52.95
MSFT,3/3/2016,52.35
MSFT,3/4/2016,52.03
MSFT,3/7/2016,51.03
MSFT,3/8/2016,51.65
MSFT,3/9/2016,52.84
MSFT,3/10/2016,52.05
MSFT,3/11/2016,53.07
MSFT,3/14/2016,53.17
MSFT,3/15/2016,53.59
MSFT,3/16/2016,54.35
MSFT,3/17/2016,54.66
MSFT,3/18/2016,53.49
MSFT,3/21/2016,53.86
MSFT,3/22/2016,54.07
MSFT,3/23/2016,53.97
MSFT,3/24/2016,54.21
MSFT,3/28/2016,53.54
MSFT,3/29/2016,54.71
MSFT,3/30/2016,55.05
MSFT,3/31/2016,55.23
MSFT,4/1/2016,55.57
MSFT,4/4/2016,55.43
MSFT,4/5/2016,54.56
MSFT,4/6/2016,55.12
MSFT,4/7/2016,54.46
MSFT,4/8/2016,54.42
MSFT,4/11/2016,54.31
MSFT,4/12/2016,54.65
MSFT,4/13/2016,55.35
MSFT,4/14/2016,55.36
MSFT,4/15/2016,55.65
MSFT,4/18/2016,56.46
MSFT,4/19/2016,56.39
MSFT,4/20/2016,55.59
MSFT,4/21/2016,55.78
MSFT,4/22/2016,51.78
MSFT,4/25/2016,52.11
MSFT,4/26/2016,51.44
MSFT,4/27/2016,50.94
