Symbol,Date,Close
DIS,1/4/2016 16:00,102.98
DIS,1/5/2016 16:00,100.9
DIS,1/6/2016 16:00,100.36
DIS,1/7/2016 16:00,99.5
DIS,1/8/2016 16:00,99.25
DIS,1/11/2016 16:00,99.92
DIS,1/12/2016 16:00,101.46
DIS,1/13/2016 16:00,98.48
DIS,1/14/2016 16:00,99.11
DIS,1/15/2016 16:00,93.9
DIS,1/19/2016 16:00,93.97
DIS,1/20/2016 16:00,92.54
DIS,1/21/2016 16:00,94.02
DIS,1/22/2016 16:00,96.9
DIS,1/25/2016 16:00,95.29
DIS,1/26/2016 16:00,96.27
DIS,1/27/2016 16:00,94.32
DIS,1/28/2016 16:00,93.53
DIS,1/29/2016 16:00,95.82
DIS,2/1/2016 16:00,95.15
DIS,2/2/2016 16:00,93.12
DIS,2/3/2016 16:00,95.14
DIS,2/4/2016 16:00,95.43
DIS,2/5/2016 16:00,93.9
DIS,2/8/2016 16:00,92.12
DIS,2/9/2016 16:00,92.32
DIS,2/10/2016 16:00,88.85
DIS,2/11/2016 16:00,90.31
DIS,2/12/2016 16:00,91.15
DIS,2/16/2016 16:00,92.91
DIS,2/17/2016 16:00,95.5
DIS,2/18/2016 16:00,95.17
DIS,2/19/2016 16:00,95.01
DIS,2/22/2016 16:00,96.37
DIS,2/23/2016 16:00,95.38
DIS,2/24/2016 16:00,95.43
DIS,2/25/2016 16:00,95.65
DIS,2/26/2016 16:00,95.31
DIS,2/29/2016 16:00,95.52
DIS,3/1/2016 16:00,97.65
DIS,3/2/2016 16:00,97
DIS,3/3/2016 16:00,98.82
DIS,3/4/2016 16:00,98.48
DIS,3/7/2016 16:00,99.39
DIS,3/8/2016 16:00,97.82
DIS,3/9/2016 16:00,97.66
DIS,3/10/2016 16:00,97.04
DIS,3/11/2016 16:00,97.94
DIS,3/14/2016 16:00,98.81
DIS,3/15/2016 16:00,98.24
DIS,3/16/2016 16:00,98.44
DIS,3/17/2016 16:00,99.6
DIS,3/18/2016 16:00,99.2
DIS,3/21/2016 16:00,98.46
DIS,3/22/2016 16:00,97.58
DIS,3/23/2016 16:00,96.83
DIS,3/24/2016 16:00,97.22
DIS,3/28/2016 16:00,98.09
DIS,3/29/2016 16:00,98.16
DIS,3/30/2016 16:00,98.91
DIS,3/31/2016 16:00,99.31
DIS,4/1/2016 16:00,99.07
DIS,4/4/2016 16:00,98.68
DIS,4/5/2016 16:00,97
DIS,4/6/2016 16:00,97.48
DIS,4/7/2016 16:00,96.16
DIS,4/8/2016 16:00,96.42
DIS,4/11/2016 16:00,96.27
DIS,4/12/2016 16:00,97.35
DIS,4/13/2016 16:00,99.48
DIS,4/14/2016 16:00,98.63
DIS,4/15/2016 16:00,98.59
DIS,4/18/2016 16:00,101.48
DIS,4/19/2016 16:00,102.64
DIS,4/20/2016 16:00,103.27
DIS,4/21/2016 16:00,102.91
DIS,4/22/2016 16:00,103.77
DIS,4/25/2016 16:00,104.57
DIS,4/26/2016 16:00,104.89
DIS,4/27/2016 16:00,105.28
DIS,4/28/2016 16:00,104.03
DIS,4/29/2016 16:00,103.26
DIS,5/2/2016 16:00,104.36
DIS,5/3/2016 16:00,103.78
DIS,5/4/2016 16:00,103.67
DIS,5/5/2016 16:00,104.93
DIS,5/6/2016 16:00,105.54
DIS,5/9/2016 16:00,105.34
DIS,5/10/2016 16:00,106.6
DIS,5/11/2016 16:00,102.29
DIS,5/12/2016 16:00,101.71
DIS,5/13/2016 16:00,100.52
