Symbol,Date,Close
FB,4/19/2016,112.29
FB,4/20/2016,112.42
FB,4/21/2016,113.44
FB,4/22/2016,110.56
FB,4/25/2016,110.1
FB,4/26/2016,108.76
FB,4/27/2016,108.89
FB,4/28/2016,116.73
FB,4/29/2016,117.58
FB,5/2/2016,118.57
FB,5/3/2016,117.43
FB,5/4/2016,118.06
FB,5/5/2016,117.81
FB,5/6/2016,119.49
FB,5/9/2016,119.24
FB,5/10/2016,120.5
FB,5/11/2016,119.52
FB,5/12/2016,120.28
FB,5/13/2016,119.81
FB,5/16/2016,118.67
FB,5/17/2016,117.35
FB,5/18/2016,117.65
FB,5/19/2016,116.81
FB,5/20/2016,117.35
FB,5/23/2016,115.97
FB,5/24/2016,117.7
FB,5/25/2016,117.89
FB,5/26/2016,119.47
FB,5/27/2016,119.38
FB,5/31/2016,118.81
FB,6/1/2016,118.78
FB,6/2/2016,118.93
FB,6/3/2016,118.47
FB,6/6/2016,118.79
FB,6/7/2016,117.76
FB,6/8/2016,118.39
FB,6/9/2016,118.56
FB,6/10/2016,116.62
FB,6/13/2016,113.95
FB,6/14/2016,114.94
FB,6/15/2016,114.6
FB,6/16/2016,114.39
FB,6/17/2016,113.02
FB,6/20/2016,113.37
FB,6/21/2016,114.38
FB,6/22/2016,113.91
FB,6/23/2016,115.08
FB,6/24/2016,112.08
FB,6/27/2016,108.97
FB,6/28/2016,112.7
FB,6/29/2016,114.16
FB,6/30/2016,114.28
FB,7/1/2016,114.19
FB,7/5/2016,114
FB,7/6/2016,116.7
FB,7/7/2016,115.85
FB,7/8/2016,117.24
FB,7/11/2016,117.87
FB,7/12/2016,117.93
FB,7/13/2016,116.78
FB,7/14/2016,117.29
FB,7/15/2016,116.86
FB,7/18/2016,119.37
FB,7/19/2016,120.61
FB,7/20/2016,121.92
FB,7/21/2016,120.61
FB,7/22/2016,121
FB,7/25/2016,121.63
FB,7/26/2016,121.22
FB,7/27/2016,123.34
FB,7/28/2016,125
FB,7/29/2016,123.94
FB,8/1/2016,124.31
FB,8/2/2016,123.09
FB,8/3/2016,122.51
FB,8/4/2016,124.36
FB,8/5/2016,125.15
FB,8/8/2016,125.26
FB,8/9/2016,125.06
FB,8/10/2016,124.88
FB,8/11/2016,124.9
FB,8/12/2016,124.88
FB,8/15/2016,123.9
FB,8/16/2016,123.3
FB,8/17/2016,124.37
FB,8/18/2016,123.91
FB,8/19/2016,123.56
FB,8/22/2016,124.15
FB,8/23/2016,124.37
FB,8/24/2016,123.48
